node_id,community,age,gender,profile_pic,activity,reaction,post per day,group vs personal post
4,WBJDF,43.0,2.0,1.0,1.0,2.0,7.0,0.82
5,WBJDF,34.0,2.0,2.0,2.0,2.0,7.0,0.73
6,WBJDF,45.0,2.0,2.0,2.0,1.0,5.0,0.82
7,WBJDF,35.0,2.0,1.0,1.0,1.0,7.0,0.9
11,WBJDF,31.0,2.0,2.0,1.0,2.0,7.0,0.88
17,WBJDF,30.0,1.0,2.0,1.0,1.0,5.0,0.78
20,WBJDF,51.0,1.0,2.0,3.0,2.0,5.0,0.75
33,WBJDF,25.0,2.0,1.0,1.0,2.0,4.0,0.82
34,WBJDF,36.0,2.0,2.0,3.0,2.0,7.0,0.81
40,WBJDF,42.0,2.0,2.0,3.0,2.0,6.0,0.85
46,WBJDF,46.0,1.0,1.0,1.0,2.0,6.0,0.72
51,WBJDF,50.0,1.0,1.0,3.0,2.0,6.0,0.84
59,WBJDF,22.0,2.0,2.0,2.0,1.0,4.0,0.9
60,WBJDF,52.0,1.0,1.0,3.0,1.0,4.0,0.73
62,WBJDF,30.0,2.0,1.0,2.0,1.0,7.0,0.78
67,WBJDF,19.0,2.0,2.0,2.0,2.0,6.0,0.8
71,WBJDF,28.0,1.0,2.0,1.0,1.0,5.0,0.87
73,WBJDF,55.0,1.0,2.0,1.0,2.0,6.0,0.73
77,WBJDF,57.0,1.0,1.0,3.0,1.0,5.0,0.7
78,WBJDF,38.0,1.0,1.0,3.0,1.0,6.0,0.77
82,WBJDF,35.0,2.0,2.0,1.0,2.0,5.0,0.88
89,WBJDF,45.0,1.0,1.0,1.0,1.0,4.0,0.75
93,WBJDF,42.0,2.0,2.0,1.0,1.0,5.0,0.73
95,WBJDF,35.0,1.0,1.0,2.0,1.0,5.0,0.84
97,WBJDF,21.0,2.0,1.0,2.0,2.0,5.0,0.71
103,WBJDF,24.0,2.0,2.0,3.0,1.0,4.0,0.84
106,WBJDF,18.0,2.0,2.0,3.0,2.0,4.0,0.79
108,WBJDF,33.0,2.0,2.0,2.0,1.0,5.0,0.79
109,WBJDF,50.0,2.0,1.0,1.0,1.0,4.0,0.86
113,WBJDF,41.0,1.0,2.0,2.0,1.0,6.0,0.78
114,WBJDF,45.0,1.0,1.0,2.0,2.0,5.0,0.8
116,WBJDF,24.0,2.0,1.0,2.0,2.0,6.0,0.75
118,WBJDF,43.0,2.0,1.0,3.0,2.0,4.0,0.86
129,WBJDF,28.0,1.0,2.0,2.0,1.0,4.0,0.86
138,WBJDF,45.0,1.0,2.0,3.0,2.0,4.0,0.85
144,WBJDF,32.0,1.0,1.0,3.0,2.0,6.0,0.71
145,WBJDF,25.0,1.0,1.0,1.0,2.0,4.0,0.79
146,WBJDF,33.0,1.0,1.0,1.0,1.0,7.0,0.8
155,WBJDF,18.0,2.0,2.0,1.0,1.0,6.0,0.8
156,WBJDF,58.0,2.0,2.0,3.0,1.0,4.0,0.89
162,WBJDF,45.0,1.0,1.0,3.0,2.0,5.0,0.73
176,WBJDF,49.0,1.0,1.0,2.0,2.0,6.0,0.83
180,WBJDF,23.0,2.0,1.0,2.0,2.0,6.0,0.85
186,WBJDF,25.0,2.0,2.0,3.0,1.0,7.0,0.78
187,WBJDF,53.0,2.0,1.0,1.0,1.0,7.0,0.75
191,WBJDF,19.0,1.0,2.0,3.0,2.0,4.0,0.71
195,WBJDF,21.0,2.0,1.0,1.0,1.0,7.0,0.85
200,WBJDF,26.0,1.0,2.0,3.0,2.0,6.0,0.77
202,WBJDF,41.0,1.0,1.0,1.0,1.0,5.0,0.79
203,WBJDF,35.0,2.0,2.0,3.0,2.0,4.0,0.76
209,WBJDF,22.0,2.0,2.0,3.0,1.0,6.0,0.77
210,WBJDF,26.0,2.0,1.0,1.0,1.0,7.0,0.89
211,WBJDF,50.0,2.0,1.0,1.0,1.0,7.0,0.83
212,WBJDF,32.0,2.0,1.0,3.0,1.0,6.0,0.88
216,WBJDF,37.0,1.0,1.0,1.0,1.0,5.0,0.79
217,WBJDF,43.0,2.0,2.0,3.0,1.0,5.0,0.86
220,WBJDF,44.0,1.0,2.0,3.0,1.0,4.0,0.87
225,WBJDF,56.0,2.0,1.0,2.0,2.0,5.0,0.73
229,WBJDF,35.0,1.0,2.0,3.0,2.0,4.0,0.89
230,WBJDF,36.0,2.0,1.0,3.0,1.0,6.0,0.72
231,WBJDF,28.0,2.0,2.0,3.0,1.0,5.0,0.82
234,WBJDF,50.0,1.0,1.0,2.0,1.0,6.0,0.78
239,WBJDF,58.0,2.0,2.0,2.0,2.0,5.0,0.84
241,WBJDF,26.0,1.0,1.0,2.0,2.0,7.0,0.76
244,WBJDF,22.0,1.0,2.0,3.0,2.0,5.0,0.83
246,WBJDF,51.0,1.0,2.0,2.0,1.0,5.0,0.84
256,WBJDF,19.0,1.0,2.0,3.0,1.0,5.0,0.71
257,WBJDF,49.0,1.0,2.0,3.0,2.0,7.0,0.82
268,WBJDF,59.0,2.0,1.0,1.0,1.0,5.0,0.81
269,WBJDF,29.0,2.0,2.0,1.0,2.0,6.0,0.77
272,WBJDF,52.0,1.0,1.0,1.0,2.0,7.0,0.73
283,WBJDF,26.0,1.0,1.0,1.0,1.0,5.0,0.72
284,WBJDF,37.0,1.0,2.0,2.0,1.0,7.0,0.85
290,WBJDF,50.0,2.0,2.0,1.0,2.0,7.0,0.79
291,WBJDF,38.0,2.0,2.0,1.0,2.0,4.0,0.88
293,WBJDF,36.0,2.0,2.0,1.0,1.0,4.0,0.76
302,WBJDF,26.0,1.0,2.0,1.0,1.0,4.0,0.86
304,WBJDF,56.0,2.0,1.0,1.0,1.0,4.0,0.73
311,WBJDF,57.0,1.0,2.0,1.0,2.0,4.0,0.76
314,WBJDF,52.0,2.0,2.0,3.0,2.0,4.0,0.72
317,WBJDF,49.0,1.0,2.0,1.0,2.0,5.0,0.87
321,WBJDF,54.0,2.0,2.0,3.0,1.0,5.0,0.88
322,WBJDF,22.0,1.0,1.0,1.0,2.0,5.0,0.79
332,WBJDF,46.0,2.0,1.0,1.0,1.0,7.0,0.77
334,WBJDF,31.0,2.0,1.0,2.0,1.0,5.0,0.87
342,WBJDF,19.0,1.0,2.0,3.0,2.0,5.0,0.79
353,WBJDF,44.0,1.0,1.0,3.0,1.0,7.0,0.74
360,WBJDF,39.0,2.0,2.0,1.0,1.0,4.0,0.81
361,WBJDF,38.0,2.0,1.0,1.0,2.0,5.0,0.81
362,WBJDF,35.0,1.0,2.0,2.0,2.0,7.0,0.85
364,WBJDF,35.0,1.0,1.0,1.0,2.0,6.0,0.85
